PinCode,MccCode,Pincode_Mcccode,RegionName
533217,505,533217505,VIJAYAWADA
534411,503,534411503,VIJAYAWADA
533450,503,533450503,VIJAYAWADA
522256,502,522256502,VIJAYAWADA
534460,502,534460502,VIJAYAWADA
534225,501,534225501,VIJAYAWADA
533211,500,533211500,VIJAYAWADA
534218,498,534218498,VIJAYAWADA
533216,498,533216498,VIJAYAWADA
522265,497,522265497,VIJAYAWADA
534320,496,534320496,VIJAYAWADA
534217,495,534217495,VIJAYAWADA
522324,495,522324495,VIJAYAWADA
522257,494,522257494,VIJAYAWADA
522257,493,522257493,VIJAYAWADA
534461,490,534461490,VIJAYAWADA
534146,489,534146489,VIJAYAWADA
534461,489,534461489,VIJAYAWADA
534462,488,534462488,VIJAYAWADA
522265,484,522265484,VIJAYAWADA
522256,479,522256479,VIJAYAWADA
534467,474,534467474,VIJAYAWADA
522265,472,522265472,VIJAYAWADA
534461,472,534461472,VIJAYAWADA
533577,471,533577471,VIJAYAWADA
522264,469,522264469,VIJAYAWADA
533229,469,533229469,VIJAYAWADA
534461,467,534461467,VIJAYAWADA
521229,465,521229465,VIJAYAWADA
533264,462,533264462,VIJAYAWADA
522647,459,522647459,VIJAYAWADA
522647,458,522647458,VIJAYAWADA
522660,456,522660456,VIJAYAWADA
522660,455,522660455,VIJAYAWADA
521185,455,521185455,VIJAYAWADA
533216,455,533216455,VIJAYAWADA
534467,455,534467455,VIJAYAWADA
521178,454,521178454,VIJAYAWADA
522264,453,522264453,VIJAYAWADA
521178,453,521178453,VIJAYAWADA
522660,449,522660449,VIJAYAWADA
522647,448,522647448,VIJAYAWADA
522660,447,522660447,VIJAYAWADA
534467,447,534467447,VIJAYAWADA
522601,446,522601446,VIJAYAWADA
522660,445,522660445,VIJAYAWADA
522660,444,522660444,VIJAYAWADA
522265,444,522265444,VIJAYAWADA
522601,441,522601441,VIJAYAWADA
522647,441,522647441,VIJAYAWADA
533577,441,533577441,VIJAYAWADA
533220,440,533220440,VIJAYAWADA
522601,439,522601439,VIJAYAWADA
523302,438,523302438,VIJAYAWADA
522112,438,522112438,VIJAYAWADA
522413,438,522413438,VIJAYAWADA
522413,436,522413436,VIJAYAWADA
522413,435,522413435,VIJAYAWADA
522549,434,522549434,VIJAYAWADA
522413,433,522413433,VIJAYAWADA
522421,431,522421431,VIJAYAWADA
533240,430,533240430,VIJAYAWADA
522601,429,522601429,VIJAYAWADA
522264,429,522264429,VIJAYAWADA
522601,428,522601428,VIJAYAWADA
534451,428,534451428,VIJAYAWADA
534312,427,534312427,VIJAYAWADA
521185,426,521185426,VIJAYAWADA
534312,426,534312426,VIJAYAWADA
521185,425,521185425,VIJAYAWADA
534311,425,534311425,VIJAYAWADA
522615,425,522615425,VIJAYAWADA
522615,424,522615424,VIJAYAWADA
533431,423,533431423,VIJAYAWADA
522413,422,522413422,VIJAYAWADA
